"boucle_num","jour","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23","total","probabilite_presence_anomalie","jour_de_la_semaine","boucle_libelle","dateformat","vacances_zone_b","libelle","observations","geolocalisation.lon","geolocalisation.lat"
"880","2025-05-02",21, 8, 5, 5, 4, 2,13, 56,161, 73, 57, 51,103,110, 69, 96,112,156,153,136, 84,58, 35,31,1599,NA,"5","880 - Madeleine vers Nord","2025-05-02","Hors Vacances","Madeleine vers Nord",NA,-1.552781,47.211548
"880","2025-05-07",21, 8, 4, 4, 2, 9,22,102,284,126, 69, 82,133,137, 95, 95,116,217,220,169, 96,54, 65,68,2198,NA,"3","880 - Madeleine vers Nord","2025-05-07","Hors Vacances","Madeleine vers Nord",NA,-1.552781,47.211548
"880","2025-05-15",30, 9, 6, 8, 6, 2,19,131,349,184, 60, 70,120,141,130,115,137,275,251,185,141,83, 94,85,2631,NA,"4","880 - Madeleine vers Nord","2025-05-15","Hors Vacances","Madeleine vers Nord",NA,-1.552781,47.211548
"880","2025-05-22",18, 4, 6, 4, 4, 3,14,107,365,146, 74, 59, 88,130, 92,103,161,227,304,170,102,80, 79,55,2395,NA,"4","880 - Madeleine vers Nord","2025-05-22","Hors Vacances","Madeleine vers Nord",NA,-1.552781,47.211548
"880","2025-05-24",37,25,19, 9, 8, 8,12, 11, 36, 51, 54, 66, 86, 71, 87, 82, 84,110,141, 85, 48,44, 49,50,1273,NA,"6","880 - Madeleine vers Nord","2025-05-24","Hors Vacances","Madeleine vers Nord",NA,-1.552781,47.211548
"880","2025-05-29",37,32,16, 8, 9, 4,11, 12, 10, 34, 35, 63, 63, 50, 56, 50, 54, 81, 84, 88, 67,47, 44,39, 994,NA,"4","880 - Madeleine vers Nord","2025-05-29","Hors Vacances","Madeleine vers Nord",NA,-1.552781,47.211548
"881","2025-05-02",28, 9, 3, 3, 2, 4,16, 45,161,101,111, 83,144, 91, 76,107,135,149,167,129, 63,43, 46,41,1757,NA,"5","881 - Madeleine vers Sud","2025-05-02","Hors Vacances","Madeleine vers Sud",NA,-1.552804,47.211536
"881","2025-05-05", 4, 3, 2, 0, 2,13,24,107,287,140, 56, 88,124,110, 86, 98,148,308,296,192, 85,50, 29,11,2263,NA,"1","881 - Madeleine vers Sud","2025-05-05","Hors Vacances","Madeleine vers Sud",NA,-1.552804,47.211536
"881","2025-05-13",12, 2, 1, 2, 0,14,29, 99,272,140, 91, 68,103, 98, 67, 86,132,286,329,185,111,57, 46,29,2259,NA,"2","881 - Madeleine vers Sud","2025-05-13","Hors Vacances","Madeleine vers Sud",NA,-1.552804,47.211536
"881","2025-05-21",12, 4, 3, 4, 4,16,22, 86,258,134, 90, 79,141,121, 88, 82,147,256,312,169, 95,68, 34,31,2256,NA,"3","881 - Madeleine vers Sud","2025-05-21","Hors Vacances","Madeleine vers Sud",NA,-1.552804,47.211536
"881","2025-05-22",15, 6, 5, 1, 5,11,28,119,320,182, 75, 69,143,130,113,106,175,322,336,190,141,85, 62,54,2693,NA,"4","881 - Madeleine vers Sud","2025-05-22","Hors Vacances","Madeleine vers Sud",NA,-1.552804,47.211536
"880","2025-05-06",10, 4, 5, 3, 0, 6,19,122,336,177, 59, 55,100,132,101, 86,136,226,252,177, 77,61, 59,46,2249,NA,"2","880 - Madeleine vers Nord","2025-05-06","Hors Vacances","Madeleine vers Nord",NA,-1.552781,47.211548
"880","2025-05-12", 4, 3, 2, 2, 2, 4,26,103,343,113, 41, 33, 70, 80, 47, 59, 99,189,242,127, 53,34, 28,30,1734,NA,"1","880 - Madeleine vers Nord","2025-05-12","Hors Vacances","Madeleine vers Nord",NA,-1.552781,47.211548
"880","2025-05-13",10, 2, 2, 0, 6, 4,25, 95,318,147, 48, 47, 86, 87, 79, 94,116,204,248,130, 79,56, 69,35,1987,NA,"2","880 - Madeleine vers Nord","2025-05-13","Hors Vacances","Madeleine vers Nord",NA,-1.552781,47.211548
"880","2025-05-26", 4, 3, 3, 0, 4, 5,23,117,358,132, 50, 44, 93,100, 88, 74,128,229,266,138, 74,52, 57,33,2075,NA,"1","880 - Madeleine vers Nord","2025-05-26","Hors Vacances","Madeleine vers Nord",NA,-1.552781,47.211548
